location,continent,date,iso_code,tests_units,aged_65_older,aged_70_older,cardiovasc_death_rate,Deathp100K,diabetes_prevalence,extreme_poverty,female_smokers,gdp_per_capita,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,male_smokers,median_age,Mortality Rate,new_cases,new_cases_per_million,new_deaths,new_deaths_per_million,new_tests,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,Number of Records,population,population_density,positive_rate,stringency_index,tests_per_case,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,total_tests,total_tests_per_thousand,Waterfall
South Africa,Africa,06/08/2020 12:00:00 AM,ZAF,,5.344,3.053,200.38,15.677297880,5.52,18.9,8.1,12294.876,43.993,2.32,64.13,33.2,27.3,1.754746856,8559,144.313,414,6.98,,,,,1,59308690,46.754,,,,529877,8934.222,9298,156.773,,,-9298
South Africa,Africa,07/08/2020 12:00:00 AM,ZAF,,5.344,3.053,200.38,16.193242508,5.52,18.9,8.1,12294.876,43.993,2.32,64.13,33.2,27.3,1.784519792,8307,140.064,306,5.159,,,,,1,59308690,46.754,,,,538184,9074.286,9604,161.932,,,-9604
Iran,Asia,31/12/2019 12:00:00 AM,IRN,,5.44,3.182,270.308,0,9.59,0.2,0.8,19082.62,,1.5,76.68,21.1,32.4,,0,0,0,0,,,,,1,83992953,49.831,,,,0,0,0,0,,,0
Iran,Asia,06/08/2020 12:00:00 AM,IRN,,5.44,3.182,270.308,21.194635221,9.59,0.2,0.8,19082.62,,1.5,76.68,21.1,32.4,5.607229363,2697,32.11,185,2.203,,,,,1,83992953,49.831,,,,317483,3779.877,17802,211.946,,,-17802
Iran,Asia,07/08/2020 12:00:00 AM,IRN,,5.44,3.182,270.308,21.211303286,9.59,0.2,0.8,19082.62,,1.5,76.68,21.1,32.4,5.565465127,2634,31.36,14,0.167,,,,,1,83992953,49.831,,,,320117,3811.236,17816,212.113,,,-17816
Iran,Asia,01/01/2020 12:00:00 AM,IRN,,5.44,3.182,270.308,0,9.59,0.2,0.8,19082.62,,1.5,76.68,21.1,32.4,,0,0,0,0,,,,,1,83992953,49.831,,0,,0,0,0,0,,,0
Iran,Asia,02/01/2020 12:00:00 AM,IRN,,5.44,3.182,270.308,0,9.59,0.2,0.8,19082.62,,1.5,76.68,21.1,32.4,,0,0,0,0,,,,,1,83992953,49.831,,0,,0,0,0,0,,,0
Iran,Asia,03/01/2020 12:00:00 AM,IRN,,5.44,3.182,270.308,0,9.59,0.2,0.8,19082.62,,1.5,76.68,21.1,32.4,,0,0,0,0,,,,,1,83992953,49.831,,0,,0,0,0,0,,,0
Iran,Asia,04/01/2020 12:00:00 AM,IRN,,5.44,3.182,270.308,0,9.59,0.2,0.8,19082.62,,1.5,76.68,21.1,32.4,,0,0,0,0,,,,,1,83992953,49.831,,0,,0,0,0,0,,,0
Iran,Asia,05/01/2020 12:00:00 AM,IRN,,5.44,3.182,270.308,0,9.59,0.2,0.8,19082.62,,1.5,76.68,21.1,32.4,,0,0,0,0,,,,,1,83992953,49.831,,0,,0,0,0,0,,,0
